x, y, z
0.311805, -0.107142, -0.010293
0.312020, -0.106515, -0.009992
0.312234, -0.105886, -0.009692
0.312446, -0.105258, -0.009392
0.312658, -0.104628, -0.009094
0.313077, -0.103367, -0.008502
0.313491, -0.102103, -0.007918
0.313901, -0.100836, -0.007341
0.314306, -0.099566, -0.006771
0.314707, -0.098293, -0.006208
0.315103, -0.097017, -0.005653
0.315494, -0.095738, -0.005105
0.315880, -0.094456, -0.004565
0.316261, -0.093171, -0.004032
0.316638, -0.091882, -0.003508
0.317010, -0.090591, -0.002992
0.317377, -0.089296, -0.002485
0.317739, -0.087999, -0.001985
0.318096, -0.086699, -0.001488
0.318448, -0.085397, -0.000999
0.318796, -0.084091, -0.000521
0.319138, -0.082781, -0.000053
0.319476, -0.081468, 0.000403
0.319809, -0.080151, 0.000847
0.320137, -0.078830, 0.001278
0.320460, -0.077506, 0.001697
0.320779, -0.076178, 0.002104
0.321092, -0.074846, 0.002497
0.321400, -0.073510, 0.002879
0.321704, -0.072170, 0.003246
0.322002, -0.070827, 0.003599
0.322296, -0.069478, 0.003936
0.322585, -0.068126, 0.004257
0.322868, -0.066769, 0.004559
0.323147, -0.065407, 0.004845
0.323420, -0.064041, 0.005115
0.323689, -0.062671, 0.005370
0.323951, -0.061297, 0.005613
0.324209, -0.059920, 0.005844
0.324461, -0.058539, 0.006059
0.324708, -0.057152, 0.006250
0.324951, -0.055758, 0.006411
0.325188, -0.054356, 0.006534
0.325421, -0.052943, 0.006614
0.325649, -0.051522, 0.006649
0.325873, -0.050090, 0.006639
0.326091, -0.048648, 0.006582
0.326305, -0.047194, 0.006469
0.326514, -0.045726, 0.006291
0.326718, -0.044242, 0.006035
0.326819, -0.043490, 0.005862
0.326919, -0.042730, 0.005643
0.327019, -0.041955, 0.005357
0.327120, -0.041160, 0.004964
0.327202, -0.040504, 0.004553
0.327243, -0.040171, 0.004322
0.327285, -0.039828, 0.004043
0.327307, -0.039647, 0.003853
0.327319, -0.039549, 0.003723
0.327326, -0.039495, 0.003633
0.327334, -0.039428, 0.003477
0.327337, -0.039398, 0.003145
0.327335, -0.039415, 0.003050
0.327330, -0.039459, 0.002906
0.327318, -0.039560, 0.002690
0.327291, -0.039784, 0.002372
0.327262, -0.040023, 0.002130
0.327199, -0.040530, 0.001789
0.327117, -0.041188, 0.001487
0.327033, -0.041852, 0.001215
0.326946, -0.042521, 0.000970
0.326858, -0.043195, 0.000755
0.326675, -0.044556, 0.000385
0.326486, -0.045922, 0.000042
0.326290, -0.047291, -0.000276
0.326089, -0.048664, -0.000574
0.325880, -0.050040, -0.000853
0.325666, -0.051417, -0.001117
0.325445, -0.052797, -0.001368
0.325218, -0.054177, -0.001610
0.324985, -0.055557, -0.001845
0.324746, -0.056938, -0.002074
0.324501, -0.058318, -0.002301
0.324250, -0.059698, -0.002526
0.323993, -0.061076, -0.002752
0.323731, -0.062453, -0.002978
0.323462, -0.063829, -0.003206
0.323188, -0.065203, -0.003433
0.322908, -0.066576, -0.003661
0.322622, -0.067948, -0.003889
0.322330, -0.069319, -0.004116
0.322033, -0.070689, -0.004343
0.321729, -0.072058, -0.004570
0.321420, -0.073425, -0.004797
0.321105, -0.074791, -0.005024
0.320784, -0.076155, -0.005251
0.320457, -0.077518, -0.005478
0.320125, -0.078880, -0.005705
0.319787, -0.080240, -0.005932
0.319443, -0.081599, -0.006159
0.319093, -0.082956, -0.006386
0.318737, -0.084312, -0.006613
0.318376, -0.085666, -0.006840
0.318009, -0.087019, -0.007067
0.317636, -0.088370, -0.007294
0.317257, -0.089720, -0.007522
0.316873, -0.091068, -0.007749
0.316483, -0.092414, -0.007976
0.316087, -0.093759, -0.008203
0.315688, -0.095094, -0.008469
0.315281, -0.096434, -0.008702
0.314869, -0.097772, -0.008936
0.314451, -0.099109, -0.009170
0.314027, -0.100444, -0.009403
0.313598, -0.101777, -0.009637
0.313162, -0.103108, -0.009870
0.312722, -0.104437, -0.010104
0.312499, -0.105101, -0.010221
0.312275, -0.105764, -0.010338
0.312050, -0.106427, -0.010454
0.311823, -0.107090, -0.010571
